FECHAHORA,"HARDWARE_NAME","MONITOR_1_SN","LLDP_RID1_SWITCH_PORTDESCR","LLDP_RID1_SWITCH_SYSNAME","p4k_FREQUENT_USERS"
"23-03-2022",S4AY2861,V902Z3ZV,gi2,"SW-AMU139V0-5","12072->50;12487->2;20951->1"
"23-03-2022",S4AY2856,V902Z400,gi12,"SW-AMU139V0-20","27083->75;23913->11;22421->5"
"23-03-2022",S4AY2903,V902Z3XB,gi9,"SW-AMU139V0-16","26113->48"
"23-03-2022",S4AY2882,V902Z3ZT,gi8,"SW-AMU139V0-32","9747->45"
"23-03-2022",S4PL3527,V305BH21,"-","-","9494->34;23375->9;12777->8"
"23-03-2022",S4PL8693,V305DFLR,gi10,"SW-AMU139V0-12","3127->21"
"23-03-2022",S4AY2987,V902Z2YB,gi13,"SW-AMU139V0-5","23715->52"
"23-03-2022",S4AU7258,0,gi12,"SW-AMU139V0-29","4003->56;6935->52;14457->4"
"23-03-2022",S4PL3873,V305BH8R,"-","-","13786->20;14681->19;7305->16"
"23-03-2022",S4AY2907,V902Z3M9,gi4,"SW-AMU139V0-5","1370->44;10934->8;1349->6"
"23-03-2022",S4AU5084,V902V25V,gi18,"SW-AMU139V0-25","9862->52;1251->18;4003->2"
"23-03-2022",S4AY2926,V902Z2M6,"-","-","1346->56;12853->31;23415->30"
"23-03-2022",S4AU7083,V902Z3NC,"-","-","26307->24;27413->20;1349->15"
"23-03-2022",S4AY2978,V902Z2XY,"-","-","1182->40;7083->2"
"23-03-2022",S4PL4073,V305BG2C,"-","-","15192->19;12907->15;7305->15"
"23-03-2022",S4AV0275,V902V2X1,"Device Port 2","(empty)","6877->57;23299->33;10199->29"
"23-03-2022",S4AU7298,V902Z3AP,"-","-","1309->42;9747->5"
"23-03-2022",S4AY3020,V902Z3V3,"-","-","1351->12;23613->8;6669->6"
"23-03-2022",S4PL3831,V305BK3M,"-","-","6097->50"
"23-03-2022",S4PL4530,V305DFMA,"-","-","3048->37"
"23-03-2022",PC053VKB,"VN-167518","-","-","27443->24;27019->11;27479->4"
"23-03-2022",S4PL3815,V305BH9Z,"PC Port","SEP247E12BF76DA.asepeyo.site","6129->47"
"23-03-2022",S4AU7298,V902Z3AP,gi12,"SW-AMU139V0-34","1309->41;9747->5"
"23-03-2022",PC053VFH,"VL-ZVG74","-","-","80734->49;84001->7;84005->2"
"23-03-2022",S4PL8700,V305DFMF,gi14,"SW-AMU139V0-13","3802->38"
"23-03-2022",S4AY2908,V902Z3N5,"-","-","27413->25;1370->21;12853->18"
"23-03-2022",S4PL8707,V305BFM0,"-","-","1288->54"
"23-03-2022",S4PL4060,V305BK2M,gi4,"SW-AMU139V0-9","5245->52"
"23-03-2022",S4PL0174,V305DFMB,gi16,"SW-AMU139V0-13","10023->18"
"23-03-2022",S4PL3827,V305BK3V,gi13,"SW-AMU139V0-23","3280->43;14621->1"
"23-03-2022",S4PL4527,V305BK34,gi17,"SW-AMU139V0-5","4212->55"
"23-03-2022",S4AU6938,V902Z39Z,gi9,"SW-AMU139V0-7","7305->15;6395->14;15192->12"
"23-03-2022",S4AY2907,V902Z3M9,gi4,"SW-AMU139V0-5","1370->44;10934->8;1349->6"
"23-03-2022",S4PL3807,V305BK29,gi9,"SW-AMU139V0-20","1336->47;9952->1;23235->1"
"23-03-2022",S4PL3938,V305BHAK,"-","-","1305->49;11875->38;7486->29"
"23-03-2022",S4PL8837,V305DFM6,"PC Port","SEP247E12BE6F25.asepeyo.site","11214->18;10243->16;12691->13"
"23-03-2022",S4AY2878,V902Z3ZM,gi15,"SW-AMU139V0-20","81866->43;81910->14;81867->11"
"23-03-2022",PC053VFB,"VL-ZVH18","PC Port","SEP247E12BF8BCC.asepeyo.site","84005->70;84001->2"
"23-03-2022",S4PL3938,V305BHAK,gi15,"SW-AMU139V0-15","1305->49;11875->38;7486->29"
"23-03-2022",S4PL3938,V305BHAK,gi15,"SW-AMU139V0-15","1305->49;11875->38;7486->29"
"23-03-2022",S4AV0105,V902Z3RB,"-","-","21211->37;6186->34;9986->28"
"23-03-2022",S4PL3938,V305BHAK,gi15,"SW-AMU139V0-15","1305->49;11875->38;7486->29"
"22-03-2022",S4PL3941,V305BKL9,"-","-","20623->55;23611->55;24687->42"
"22-03-2022",S4AV0105,V902Z3RB,gi17,"SW-AMU139V0-15","21211->37;6186->33;9986->28"
"22-03-2022",S4PL3938,V305BHAK,gi15,"SW-AMU139V0-15","1305->49;11875->38;7486->29"
"22-03-2022",S4PL8837,V305DFM6,"PC Port","SEP247E12BE6F25.asepeyo.site","11214->19;10243->16;12691->13"
"22-03-2022",S4PL3954,V305BK1Y,"PC Port","SEPB4A8B969C80B.asepeyo.site","10379->45;26335->28;14479->26"
"22-03-2022",S4AY2926,V902Z2M6,"-","-","1346->56;12853->31;23415->30"
"22-03-2022",S4PL3873,V305BH8R,"-","-","13786->20;14681->18;7305->16"
"22-03-2022",S4PL4595,V305BK1Z,"PC Port","SEP247E12BF8564.asepeyo.site","23613->13;6257->5;6934->5"
"22-03-2022",S4PL8751,V305BHAV,"-","-","23613->8;25679->6;26855->6"
"22-03-2022",S4PL3270,V305BHLX,"-","-","14043->46;21979->8;6061->6"
"22-03-2022",S4AY3020,V902Z3V3,"-","-","1351->12;23613->7;6669->6"
"22-03-2022",S4PL4698,V305BHVW,"-","-","25747->39"
"22-03-2022",S4AY2908,V902Z3N5,"PC Port","SEP247E12BF77A1.asepeyo.site","27413->25;1370->20;12853->18"
"22-03-2022",S4PL3270,V305BHLX,"-","-","14043->46;21979->7;6061->6"
"22-03-2022",S4AU7289,V902Z3AB,gi21,"SW-AMU139V0-32","14545->46;9306->33;15501->7"
"22-03-2022",PC053VBN,"VL-ZGR67","-","-","25917->36;2349->34;26481->1"
"22-03-2022",S4AV0482,V902Z39M,gi8,"SW-AMU139V0-29","6074->48;26481->15;24369->8"
"22-03-2022",S4AU7137,V902Z39F,gi12,"SW-AMU139V0-36","27443->6;25551->5;25747->5"
"22-03-2022",S4AU7289,V902Z3AB,gi21,"SW-AMU139V0-32","14545->45;9306->33;15501->7"
"22-03-2022",S4PL8837,V305DFM6,"PC Port","SEP247E12BE6F25.asepeyo.site","11214->19;10243->15;12691->13"
"22-03-2022",S4PL4545,V305BK22,gi9,"SW-AMU139V0-17","3115->49"
"22-03-2022",S4AV0105,V902Z3RB,gi17,"SW-AMU139V0-15","21211->37;6186->32;9986->29"
"22-03-2022",S4PL4597,V305DFM9,"-","-","1340->53"
"22-03-2022",S4PL8837,V305DFM6,"-","-","11214->19;10243->15;12691->13"
"22-03-2022",PC053VFH,"VL-ZVG74","-","-","80734->49;84001->7;84005->1"
"22-03-2022",S4AU6938,V902Z39Z,gi9,"SW-AMU139V0-7","7305->15;6395->14;15192->12"
"22-03-2022",S4PL3941,V305BKL9,"PC Port","SEP247E12BFD070.asepeyo.site","23611->56;20623->55;24687->42"
"22-03-2022",PC053VEM,52549101,"-","-","26589->46;24227->28;80790->10"
"22-03-2022",S4AU7283,V902Z3A8,gi7,"SW-AMU139V0-36","11091->5;9938->5;13614->3"
"22-03-2022",S4AY2908,V902Z3N5,"PC Port","SEP247E12BF77A1.asepeyo.site","27413->25;1370->20;12853->18"
"22-03-2022",S4AU9072,V902V2PG,gi19,"SW-AMU139V0-27","26809->22;3860->15;9755->12"
"22-03-2022",S4AY3020,V902Z3V3,"PC Port","SEP247E12BF84C4.asepeyo.site","1351->12;23613->7;6669->6"
"22-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->37;22389->22;6188->11"
"22-03-2022",S4PL3954,V305BK1Y,"PC Port","SEPB4A8B969C80B.asepeyo.site","10379->45;26335->28;14479->25"
"22-03-2022",S4AY2986,V902Z2XV,"-","-","4070->31;12691->26;1277->22"
"22-03-2022",S4PL3951,V305BHAH,gi9,"SW-AMU139V0-26","1288->17;27257->9;1369->8"
"22-03-2022",S4AU4974,V902Z3WB,gi15,"SW-AMU139V0-30","26481->52;10047->21;10199->6"
"22-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->127;27083->48;10934->6"
"22-03-2022",S4PL4073,V305BG2C,gi12,"SW-AMU139V0-7","15192->19;7305->15;12907->14"
"22-03-2022",S4PL4534,V305BFMC,"-","-","27443->24;24673->4;27019->3"
"22-03-2022",S4AY2926,V902Z2M6,"PC Port","SEPB4A8B969C8DC.asepeyo.site","1346->57;12853->31;23415->29"
"22-03-2022",S4AU7083,V902Z3NC,"-","-","26307->24;27413->20;1349->15"
"22-03-2022",S4AV0105,V902Z3RB,gi17,"SW-AMU139V0-15","21211->36;6186->32;9986->29"
"22-03-2022",S4AY2907,V902Z3M9,gi4,"SW-AMU139V0-5","1370->43;10934->8;1349->6"
"22-03-2022",S4PL3873,V305BH8R,"-","-","13786->20;14681->18;7305->16"
"22-03-2022",S4PL3327,V305BHLB,"-","-","6425->43;12498->6;1350->6"
"22-03-2022",S4AU7145,V902Z3AA,"-","-","14694->13;7343->10;15667->8"
"22-03-2022",S4AV0146,V902Z3RK,gi19,"SW-AMU139V0-39","12777->62;27849->35;23375->25"
"22-03-2022",S4PL4716,V305BH9F,gi5,"SW-AMU139V0-28","22473->10;25747->9;23603->7"
"22-03-2022",S4AU7258,0,gi12,"SW-AMU139V0-29","4003->58;6935->51;14457->4"
"22-03-2022",S4PL8689,V305BFCV,"-","-","7083->51"
"22-03-2022",S4AV0275,V902V2X1,"-","-","6877->58;23299->32;10199->29"
"22-03-2022",S4PL4554,V305BK1V,"-","-","1359->55;12660->2;20951->1"
"22-03-2022",PC053V7Z,60227032,gi12,"SW-AMU139V0-8","24227->14;26589->12"
"22-03-2022",S4PL3896,V305BGHX,gi2,"SW-AMU139V0-32","27479->10;27333->1"
"22-03-2022",S4AU7145,V902Z3AA,"-","-","14694->13;7343->10;15667->8"
"22-03-2022",S4PL4554,V305BK1V,"-","-","1359->54;12660->2;20951->1"
"22-03-2022",S4PL4597,V305DFM9,"PC Port","SEP2C0BE904935F.asepeyo.site","1340->52"
"22-03-2022",S4AV0275,V902V2X1,"-","-","6877->58;23299->32;10199->29"
"22-03-2022",S4PL4559,V305BH9G,gi8,"SW-AMU139V0-25","26271->34;27763->11"
"22-03-2022",S4AV0275,V902V2X1,"Device Port 2","(empty)","6877->58;23299->32;10199->28"
"22-03-2022",S4AV0275,V902V2X1,"-","-","6877->58;23299->32;10199->28"
"22-03-2022",S4PL8700,V305DFMF,"-","-","3802->37"
"22-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->37;22389->21;6188->11"
"22-03-2022",S4AY2961,V902Z2NA,gi1,"SW-AMU139V0-24","9937->36;22389->21;6188->11"
"22-03-2022",S4AY2907,V902Z3M9,"-","-","1370->43;10934->8;1349->6"
"22-03-2022",S4PL3953,V305BH8Y,gi2,"SW-AMU139V0-28","3280->15;1366->9;81901->9"
"22-03-2022",S4PL3951,V305BHAH,gi9,"SW-AMU139V0-26","1288->17;27257->9;1369->7"
"22-03-2022",S4AU6671,V902Y4HX,gi9,"SW-AMU139V0-25","1293->47"
"22-03-2022",S4AU5084,V902V25V,gi18,"SW-AMU139V0-25","9862->53;1251->17;4003->2"
"22-03-2022",S4PL4526,V305BHW9,gi7,"SW-AMU139V0-26","14621->14;81241->14;1209->8"
"22-03-2022",S4PL4531,V305BFM8,"-","-","6616->40;27257->2"
"22-03-2022",S4AV0275,V902V2X1,"-","-","6877->58;23299->32;10199->28"
"22-03-2022",S4AY2856,V902Z400,gi12,"SW-AMU139V0-20","27083->74;23913->11;22421->5"
"22-03-2022",S4PL8663,V304Y180,"-","-","1220->35;10287->17;9124->13"
"22-03-2022",S4PL4595,V305BK1Z,"-","-","23613->13;6257->5;25679->4"
"22-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->126;27083->48;10934->6"
"22-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->31;12691->26;1277->23"
"22-03-2022",S4PL4716,V305BH9F,gi5,"SW-AMU139V0-28","22473->9;25747->9;23603->7"
"22-03-2022",S4PL4595,V305BK1Z,"-","-","23613->13;6257->5;25679->4"
"22-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->31;12691->26;1277->22"
"22-03-2022",S4AY2880,V902Z2Y5,"-","-","0838->30;23913->26;23235->1"
"22-03-2022",S4PL8663,V304Y180,"-","-","1220->34;10287->17;9124->13"
"22-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->126;27083->48;10934->6"
"22-03-2022",S4PL4183,V305DFLL,"-","-","3445->31"
"22-03-2022",S4PL3327,V305BHLB,gi20,"SW-AMU139V0-36","6425->43;1350->6;12498->6"
"22-03-2022",S4PL3741,V305BHA4,gi2,"SW-AMU139V0-30","81249->15;13614->11;27627->9"
"22-03-2022",S4AY2975,V902Z3ZZ,"-","-","22421->126;27083->47;10934->6"
"22-03-2022",S4AY2980,V902Z3R4,gi21,"SW-AMU139V0-30","6074->24"
"22-03-2022",S4PL3327,V305BHLB,gi20,"SW-AMU139V0-36","6425->43;12498->6;1350->5"
"22-03-2022",PC053VF6,16843009,gi10,"SW-AMU139V0-3","6616->10;7452->1"
"22-03-2022",S4PL4774,V305DFM3,"-","-","1366->49"
"22-03-2022",S4PL3807,V305BK29,gi9,"SW-AMU139V0-20","1336->46;9952->1;23235->1"
"22-03-2022",S4PL3822,V305BK3T,gi3,"SW-AMU139V0-4","7452->39"
"22-03-2022",S4PL4452,V305BHAL,gi14,"SW-AMU139V0-31","21979->14;24273->9;12376->8"
"22-03-2022",S4AU9072,V902V2PG,gi19,"SW-AMU139V0-27","26809->21;3860->16;9755->12"
"22-03-2022",S4AU5155,V902V2XT,"-","-","24369->32;9862->5;1251->3"
"22-03-2022",S4PL8663,V304Y180,"-","-","1220->34;10287->16;9124->13"
"22-03-2022",S4PL3933,V305BH9C,"-","-","1275->49"
"22-03-2022",PC053VFC,0,gi1,"SW-AMU139V0-5","9952->49;12072->1"
"22-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->31;12691->26;1277->21"
"22-03-2022",S4PL3746,V305BH8D,gi9,"SW-AMU139V0-34","27095->48"
"22-03-2022",S4AU7842,V902V2Y1,"-","-","20069->58"
"22-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->31;12691->26;1277->21"
"22-03-2022",S4PL3954,V305BK1Y,"PC Port","SEPB4A8B969C80B.asepeyo.site","10379->46;26335->28;14479->25"
"22-03-2022",S4PL8837,V305DFM6,"-","-","11214->19;10243->15;12691->14"
"22-03-2022",S4PL3938,V305BHAK,gi15,"SW-AMU139V0-15","1305->49;11875->38;7486->30"
"22-03-2022",S4M80643,0,gi13,"SW-AMU139V0-17","5095->54"
"22-03-2022",S4PL4545,V305BK22,gi9,"SW-AMU139V0-17","3115->48"
"22-03-2022",S4PL2948,V305BHNR,"-","-","1347->39"
"22-03-2022",S4PL3819,V305BHAM,gi16,"SW-AMU139V0-29","3159->24"
"22-03-2022",S4PL4686,V305BHVN,"PC Port","SEP247E12BF6687.asepeyo.site","27763->28;26271->6;1209->1"
"22-03-2022",PC053VFH,"VL-ZVG74","PC Port","SEPB4A8B969C86C.asepeyo.site","80734->48;84001->7;84005->1"
"22-03-2022",S4AU7137,V902Z39F,gi12,"SW-AMU139V0-36","27443->6;25551->5;81241->5"
"22-03-2022",S4AV0092,V902Z30R,gi17,"SW-AMU139V0-25","15548->66"
"22-03-2022",S4AU4974,V902Z3WB,gi15,"SW-AMU139V0-30","26481->53;10047->20;10199->6"
"22-03-2022",S4PL3814,V305BK3P,"-","-","21459->41"
"22-03-2022",S4AV0105,V902Z3RB,"-","-","21211->35;6186->32;9986->29"
"22-03-2022",S4PL4252,V305BH8B,gi12,"SW-AMU139V0-33","27875->23;9306->1"
"22-03-2022",S4PL4553,V305BK32,gi2,"SW-AMU139V0-24","80434->22"
"22-03-2022",S4PL3941,V305BKL9,"-","-","20623->55;23611->55;24687->42"
"22-03-2022",S4PL4252,V305BH8B,gi12,"SW-AMU139V0-33","27875->22;9306->1"
"22-03-2022",S4PL8663,V304Y180,"Device Port 3","(empty)","1220->35;10287->16;9124->12"
"22-03-2022",S4PL4917,V305BHAG,gi2,"SW-AMU139V0-31","25679->15;14350->9;24273->7"
"22-03-2022",S4AY3020,V902Z3V3,"PC Port","SEP247E12BF84C4.asepeyo.site","1351->12;23613->7;6669->6"
"22-03-2022",PC053V7Z,60227032,gi12,"SW-AMU139V0-8","24227->13;26589->12"
"22-03-2022",S4AU7293,V902Z3A2,"-","-","6061->50;6947->5;9124->5"
"22-03-2022",S4AY2861,V902Z3ZV,gi2,"SW-AMU139V0-5","12072->49;12487->2;20951->1"
"22-03-2022",S4AU5084,V902V25V,gi18,"SW-AMU139V0-25","9862->53;1251->17;4003->2"
"22-03-2022",S4PL4056,V305BHA5,gi16,"SW-AMU139V0-28","25595->35;27763->4"
"22-03-2022",S4J96760,0,"-","-","23691->43"
"22-03-2022",S4AY2861,V902Z3ZV,gi2,"SW-AMU139V0-5","12072->48;12487->2;20951->1"
"22-03-2022",S4PL8703,V305DFM4,"-","-","4222->44"
"22-03-2022",S4PL3327,V305BHLB,gi20,"SW-AMU139V0-36","6425->43;12498->6;1230->5"
"22-03-2022",S4PL4190,V305BFC0,gi4,"SW-AMU139V0-32","27257->40"
"22-03-2022",PC053V62,16777216,"-","-","3802->7;3445->2;4142->2"
"22-03-2022",S4PL4540,V305BFCR,gi1,"SW-AMU139V0-12","1363->21"
"22-03-2022",PC053VBN,"VL-ZGR67","-","-","25917->35;2349->34;6074->2"
"22-03-2022",S4PL4183,V305DFLL,"-","-","3445->30"
"22-03-2022",S4PL8838,V305DFMC,gi7,"SW-AMU139V0-12","4139->26"
"22-03-2022",S4AU7283,V902Z3A8,gi7,"SW-AMU139V0-36","11091->5;9938->5;23287->4"
"22-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->127;27083->47;10934->6"
"22-03-2022",PC053VEM,52549101,"-","-","26589->47;24227->30;80790->10"
"22-03-2022",S4AV0482,V902Z39M,gi8,"SW-AMU139V0-29","6074->48;26481->14;24369->10"
"22-03-2022",S4AY2918,V902Z3ZB,gi2,"SW-AMU139V0-6","6454->99"
"22-03-2022",S4AU7289,V902Z3AB,gi21,"SW-AMU139V0-32","14545->45;9306->33;15501->7"
"22-03-2022",PC0A85QB,V9012R2A,"-","-","1254->15;15667->2;15192->2"
"22-03-2022",S4AU6938,V902Z39Z,gi9,"SW-AMU139V0-7","7305->15;6395->14;15192->12"
"22-03-2022",S4PL4528,V305DFM8,"-","-","3511->29;5195->1"
"22-03-2022",S4AY2857,V902Z3Z8,"-","-","1343->22;81924->2"
"22-03-2022",S4AU7145,V902Z3AA,"-","-","14694->13;7343->10;15667->8"
"22-03-2022",S4PL4597,V305DFM9,"PC Port","SEP2C0BE904935F.asepeyo.site","1340->52"
"22-03-2022",S4AY2996,V902Z3RN,gi5,"SW-AMU139V0-5","11483->57"
"22-03-2022",S4AV0220,V902Z3RV,"-","-","6891->32;15501->16;15667->2"
"22-03-2022",S4PL4759,V305DFM0,gi17,"SW-AMU139V0-12","15611->25"
"22-03-2022",S4PL4531,V305BFM8,gi15,"SW-AMU139V0-3","6616->39;27257->2"
"22-03-2022",S4PL3270,V305BHLX,"PC Port","SEP247E12BF7684.asepeyo.site","14043->46;6061->7;21979->6"
"22-03-2022",S4AU7298,V902Z3AP,gi12,"SW-AMU139V0-34","1309->40;9747->5"
"22-03-2022",S4PL4060,V305BK2M,gi4,"SW-AMU139V0-9","5245->52"
"22-03-2022",S4PL3110,V305BHBB,"-","-","1351->8;27443->6;6257->6"
"22-03-2022",S4AY2918,V902Z3ZB,gi2,"SW-AMU139V0-6","6454->98"
"22-03-2022",PC053VKB,"VN-167518","-","-","27443->24;27019->11;27479->4"
"22-03-2022",S4AY2996,V902Z3RN,gi5,"SW-AMU139V0-5","11483->57"
"22-03-2022",S4PL4059,V305BK3A,"-","-","1358->55"
"22-03-2022",S4PL3527,V305BH21,"-","-","9494->33;23375->9;12777->8"
"22-03-2022",S4PL4550,V305BHBM,"-","-","3192->22"
"22-03-2022",S4PL3942,V305BH9D,gi1,"SW-AMU139V0-19","1330->44;27893->2"
"22-03-2022",S4AY2908,V902Z3N5,"PC Port","SEP247E12BF77A1.asepeyo.site","27413->25;1370->20;12853->18"
"22-03-2022",S4PL4539,V305DFLY,gi4,"SW-AMU139V0-12","4529->34"
"22-03-2022",S4AY2906,V902Z3ZP,gi2,"SW-AMU139V0-17","23235->39"
"22-03-2022",S4AV0146,V902Z3RK,gi19,"SW-AMU139V0-39","12777->62;27849->34;23375->25"
"22-03-2022",S4PL3873,V305BH8R,"PC Port","SEP247E12BF89FF.asepeyo.site","13786->20;14681->18;7305->18"
"22-03-2022",S4AY2926,V902Z2M6,"-","-","1346->57;12853->31;23415->29"
"22-03-2022",S4AY2987,V902Z2YB,gi13,"SW-AMU139V0-5","23715->52"
"22-03-2022",S4PL4373,V305BK1D,gi6,"SW-AMU139V0-12","1325->20"
"22-03-2022",S4PL4543,V305BHA3,"-","-","1155->29;81755->8;27705->1"
"22-03-2022",S4AU7083,V902Z3NC,"PC Port","SEP247E12BF778A.asepeyo.site","26307->24;27413->19;1349->15"
"22-03-2022",S4PL3941,V305BKL9,"PC Port","SEP247E12BFD070.asepeyo.site","23611->55;20623->54;24687->42"
"22-03-2022",S4AY2882,V902Z3ZT,gi8,"SW-AMU139V0-32","9747->44"
"22-03-2022",S4AY2903,V902Z3XB,gi9,"SW-AMU139V0-16","26113->48"
"22-03-2022",S4AU7258,0,"-","-","4003->57;6935->51;14457->4"
"22-03-2022",S4AV0275,V902V2X1,"-","-","6877->58;23299->32;10199->29"
"22-03-2022",S4PL9025,V3071RZD,"-","-","26201->19"
"22-03-2022",S4AY2856,V902Z400,gi12,"SW-AMU139V0-20","27083->73;23913->12;22421->5"
"22-03-2022",S4PL4876,V305BK3L,"-","-","3167->37"
"22-03-2022",S4PL4073,V305BG2C,"-","-","15192->19;7305->15;12907->14"
"22-03-2022",S4PL4547,V305BK3N,gi11,"SW-AMU139V0-33","4923->18"
"22-03-2022",S4PL4530,V305DFMA,"-","-","3048->37"
"22-03-2022",S4PL4065,V305BG01,"-","-","6162->48"
"22-03-2022",S4PL5078,V305DFM2,gi10,"SW-AMU139V0-13","1374->31"
"22-03-2022",S4PL3948,V305BK1M,gi3,"SW-AMU139V0-10","26251->16"
"22-03-2022",S4PL3827,V305BK3V,gi13,"SW-AMU139V0-23","3280->42;14621->1"
"22-03-2022",S4AU7096,V902Z2MX,gi16,"SW-AMU139V0-31","81071->27;81091->20;81881->13"
"22-03-2022",S4AU7205,V902Z30H,"PC Port","SEP247E12BF848A.asepeyo.site","81073->45;80492->7;81071->2"
"22-03-2022",S4AY2978,V902Z2XY,"-","-","1182->40;7083->2"
"22-03-2022",S4PL3831,V305BK3M,"PC Port","SEPF87B204FBB03.asepeyo.site","6097->50"
"22-03-2022",S4PL8707,V305BFM0,gi1,"SW-AMU139V0-32","1288->54"
"22-03-2022",S4PL3815,V305BH9Z,"PC Port","SEP247E12BF76DA.asepeyo.site","6129->47"
"22-03-2022",S4PL9049,V305BK1W,"-","-","6341->44"
"22-03-2022",S4AU6938,V902Z39Z,gi9,"SW-AMU139V0-7","6395->14;7305->14;15192->12"
"22-03-2022",S4AU9072,V902V2PG,gi19,"SW-AMU139V0-27","26809->21;3860->15;9755->12"
"22-03-2022",S4PL4527,V305BK34,"-","-","4212->55"
"22-03-2022",S4AU7772,V902Z425,"-","-","26219->7;6615->3;6150->1"
"22-03-2022",S4PL3807,V305BK29,gi9,"SW-AMU139V0-20","1336->45;9952->1;23235->1"
"22-03-2022",S4AY2907,V902Z3M9,gi4,"SW-AMU139V0-5","1370->42;10934->8;1349->6"
"22-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->31;12691->26;1277->21"
"22-03-2022",S4AY2878,V902Z3ZM,gi15,"SW-AMU139V0-20","81866->43;81910->14;81867->11"
"22-03-2022",S4AV0129,V902Z3RW,"-","-","1341->5;23375->5;27397->3"
"22-03-2022",S4AU9072,V902V2PG,gi19,"SW-AMU139V0-27","26809->21;3860->15;9755->12"
"22-03-2022",S4AU7096,V902Z2MX,gi16,"SW-AMU139V0-31","81071->27;81091->20;81881->13"
"22-03-2022",S4PL8837,V305DFM6,"-","-","11214->19;10243->15;12691->13"
"22-03-2022",S4AY2986,V902Z2XV,gi13,"SW-AMU139V0-24","4070->31;12691->26;1277->21"
"22-03-2022",S4PL3527,V305BH21,"PC Port","SEP247E12BF8990.asepeyo.site","9494->32;23375->9;12777->8"
